# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_waterdata_support@usgs.gov
# retrieved: 2023-03-22 12:40:24 EDT       (caww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 09486520 SANTA CRUZ RIVER AT TRICO ROAD, NR MARANA, AZ.
# -----------------------------------------------------------------------------------
#
# Data provided for site 09486520
#            TS   parameter     statistic     Description
#          5614       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	5614_00060_00003	5614_00060_00003_cd
USGS	09486520	2020-02-25	24.1	A
USGS	09486520	2020-02-26	26.9	A
USGS	09486520	2020-02-27	23.5	A
USGS	09486520	2020-02-28	21.5	A
USGS	09486520	2020-02-29	17.6	A
USGS	09486520	2020-03-01	18.6	A
USGS	09486520	2020-03-02	24.1	A
USGS	09486520	2020-03-03	18.1	A
USGS	09486520	2020-03-04	12.8	A
USGS	09486520	2020-03-05	13.3	A
USGS	09486520	2020-03-06	13.7	A
USGS	09486520	2020-03-07	18.8	A
USGS	09486520	2020-03-08	19.5	A
USGS	09486520	2020-03-09	21.7	A
USGS	09486520	2020-03-10	19.6	A
USGS	09486520	2020-03-11	19.3	A
USGS	09486520	2020-03-12	22.4	A
USGS	09486520	2020-03-13	22.4	A
USGS	09486520	2020-03-14	24.2	A
USGS	09486520	2020-03-15	23.3	A
USGS	09486520	2020-03-16	22.8	A
USGS	09486520	2020-03-17	21.7	A
USGS	09486520	2020-03-18	24.8	A
USGS	09486520	2020-03-19	53.0	A
USGS	09486520	2020-03-20	77.2	A
USGS	09486520	2020-03-21	51.9	A
USGS	09486520	2020-03-22	32.0	A
USGS	09486520	2020-03-23	27.2	A
USGS	09486520	2020-03-24	21.2	A
USGS	09486520	2020-03-25	20.4	A
USGS	09486520	2020-03-26	15.6	A
USGS	09486520	2020-03-27	15.5	A
USGS	09486520	2020-03-28	12.9	A
USGS	09486520	2020-03-29	15.7	A
USGS	09486520	2020-03-30	17.6	A
USGS	09486520	2020-03-31	15.5	A
USGS	09486520	2020-04-01	11.3	A
USGS	09486520	2020-04-02	11.2	A
USGS	09486520	2020-04-03	11.0	A
USGS	09486520	2020-04-04	13.3	A
USGS	09486520	2020-04-05	14.7	A
USGS	09486520	2020-04-06	14.7	A
USGS	09486520	2020-04-07	13.7	A
USGS	09486520	2020-04-08	13.2	A
USGS	09486520	2020-04-09	13.1	A
USGS	09486520	2020-04-10	14.7	A
USGS	09486520	2020-04-11	13.3	A
USGS	09486520	2020-04-12	18.6	A
USGS	09486520	2020-04-13	19.5	A
USGS	09486520	2020-04-14	13.5	A
USGS	09486520	2020-04-15	13.9	A
USGS	09486520	2020-04-16	12.5	A
USGS	09486520	2020-04-17	11.9	A
USGS	09486520	2020-04-18	11.0	A
USGS	09486520	2020-04-19	13.2	A
USGS	09486520	2020-04-20	16.4	A
USGS	09486520	2020-04-21	18.9	A
USGS	09486520	2020-04-22	12.6	A
USGS	09486520	2020-04-23	11.6	A
USGS	09486520	2020-04-24	11.5	A
USGS	09486520	2020-04-25	11.6	A
USGS	09486520	2020-04-26	11.6	A
USGS	09486520	2020-04-27	12.8	A
USGS	09486520	2020-04-28	12.4	A
USGS	09486520	2020-04-29	14.6	A
USGS	09486520	2020-04-30	11.4	A
USGS	09486520	2020-05-01	10.1	A
USGS	09486520	2020-05-02	9.63	A
USGS	09486520	2020-05-03	12.4	A
USGS	09486520	2020-05-04	12.7	A
USGS	09486520	2020-05-05	12.5	A
USGS	09486520	2020-05-06	17.0	A
USGS	09486520	2020-05-07	13.1	A
USGS	09486520	2020-05-08	11.8	A
USGS	09486520	2020-05-09	12.2	A
USGS	09486520	2020-05-10	13.8	A
USGS	09486520	2020-05-11	13.4	A
USGS	09486520	2020-05-12	13.7	A
USGS	09486520	2020-05-13	12.6	A
USGS	09486520	2020-05-14	13.7	A
USGS	09486520	2020-05-15	13.6	A
USGS	09486520	2020-05-16	13.7	A
USGS	09486520	2020-05-17	13.2	A
USGS	09486520	2020-05-18	12.4	A
USGS	09486520	2020-05-19	11.5	A
USGS	09486520	2020-05-20	11.4	A
USGS	09486520	2020-05-21	11.1	A
USGS	09486520	2020-05-22	10.0	A
USGS	09486520	2020-05-23	12.1	A
USGS	09486520	2020-05-24	11.7	A
USGS	09486520	2020-05-25	10.3	A
USGS	09486520	2020-05-26	11.8	A
USGS	09486520	2020-05-27	9.96	A
USGS	09486520	2020-05-28	7.36	A
USGS	09486520	2020-05-29	8.22	A
USGS	09486520	2020-05-30	8.04	A
USGS	09486520	2020-05-31	9.35	A
USGS	09486520	2020-06-01	9.63	A
USGS	09486520	2020-06-02	9.23	A
USGS	09486520	2020-06-03	9.00	A
USGS	09486520	2020-06-04	10.0	A
USGS	09486520	2020-06-05	10.0	A
USGS	09486520	2020-06-06	9.52	A
USGS	09486520	2020-06-07	11.4	A
USGS	09486520	2020-06-08	12.0	A
USGS	09486520	2020-06-09	9.76	A
USGS	09486520	2020-06-10	8.12	A
USGS	09486520	2020-06-11	4.61	A
USGS	09486520	2020-06-12	3.57	A
USGS	09486520	2020-06-13	3.03	A
USGS	09486520	2020-06-14	4.08	A
USGS	09486520	2020-06-15	5.20	A
USGS	09486520	2020-06-16	3.93	A
USGS	09486520	2020-06-17	4.36	A
USGS	09486520	2020-06-18	4.89	A
USGS	09486520	2020-06-19	4.18	A
USGS	09486520	2020-06-20	4.56	A
USGS	09486520	2020-06-21	4.49	A
USGS	09486520	2020-06-22	4.36	A
USGS	09486520	2020-06-23	4.64	A
USGS	09486520	2020-06-24	4.67	A
USGS	09486520	2020-06-25	4.71	A
USGS	09486520	2020-06-26	4.18	A
USGS	09486520	2020-06-27	5.09	A
USGS	09486520	2020-06-28	4.88	A
USGS	09486520	2020-06-29	5.82	A
USGS	09486520	2020-06-30	5.83	A
USGS	09486520	2020-07-01	5.07	A
USGS	09486520	2020-07-02	4.79	A
USGS	09486520	2020-07-03	4.53	A
USGS	09486520	2020-07-04	4.56	A
USGS	09486520	2020-07-05	3.90	A
USGS	09486520	2020-07-06	4.10	A
USGS	09486520	2020-07-07	7.27	A
USGS	09486520	2020-07-08	5.05	A
USGS	09486520	2020-07-09	4.74	A
USGS	09486520	2020-07-10	5.04	A
USGS	09486520	2020-07-11	5.81	A
USGS	09486520	2020-07-12	5.47	A
USGS	09486520	2020-07-13	6.03	A
USGS	09486520	2020-07-14	4.48	A
USGS	09486520	2020-07-15	3.81	A
USGS	09486520	2020-07-16	3.15	A
USGS	09486520	2020-07-17	8.11	A
USGS	09486520	2020-07-18	8.19	A
USGS	09486520	2020-07-19	7.94	A
USGS	09486520	2020-07-20	8.31	A
USGS	09486520	2020-07-21	8.54	A
USGS	09486520	2020-07-22	9.51	A
USGS	09486520	2020-07-23	179	A
USGS	09486520	2020-07-24	172	A
USGS	09486520	2020-07-25	28.0	A
USGS	09486520	2020-07-26	22.6	A
USGS	09486520	2020-07-27	19.8	A
USGS	09486520	2020-07-28	19.5	A
USGS	09486520	2020-07-29	18.7	A
USGS	09486520	2020-07-30	17.9	A
USGS	09486520	2020-07-31	18.1	A
USGS	09486520	2020-08-01	13.2	A
USGS	09486520	2020-08-02	13.6	A
USGS	09486520	2020-08-03	14.3	A
USGS	09486520	2020-08-04	12.3	A
USGS	09486520	2020-08-05	12.9	A
USGS	09486520	2020-08-06	12.9	A
USGS	09486520	2020-08-07	12.1	A
USGS	09486520	2020-08-08	11.2	A
USGS	09486520	2020-08-09	12.2	A
USGS	09486520	2020-08-10	13.6	A
USGS	09486520	2020-08-11	11.8	A
USGS	09486520	2020-08-12	10.6	A
USGS	09486520	2020-08-13	10.4	A
USGS	09486520	2020-08-14	10.6	A
USGS	09486520	2020-08-15	10.6	A
USGS	09486520	2020-08-16	8.54	A
USGS	09486520	2020-08-17	16.6	A
USGS	09486520	2020-08-18	11.9	A
USGS	09486520	2020-08-19	16.5	A
USGS	09486520	2020-08-20	17.4	A
USGS	09486520	2020-08-21	46.5	A
USGS	09486520	2020-08-22	24.7	A
USGS	09486520	2020-08-23	18.4	A
USGS	09486520	2020-08-24	22.4	A
USGS	09486520	2020-08-25	21.0	A
USGS	09486520	2020-08-26	19.9	A
USGS	09486520	2020-08-27	19.3	A
USGS	09486520	2020-08-28	18.5	A
USGS	09486520	2020-08-29	16.7	A
USGS	09486520	2020-08-30	44.0	A
USGS	09486520	2020-08-31	33.7	A
USGS	09486520	2020-09-01	26.7	A
USGS	09486520	2020-09-02	28.7	A
USGS	09486520	2020-09-03	24.8	A
USGS	09486520	2020-09-04	26.6	A
USGS	09486520	2020-09-05	22.9	A
USGS	09486520	2020-09-06	21.3	A
USGS	09486520	2020-09-07	21.8	A
USGS	09486520	2020-09-08	25.9	A
USGS	09486520	2020-09-09	26.0	A
USGS	09486520	2020-09-10	25.4	A
USGS	09486520	2020-09-11	25.1	A
USGS	09486520	2020-09-12	25.3	A
USGS	09486520	2020-09-13	25.0	A
USGS	09486520	2020-09-14	27.3	A
USGS	09486520	2020-09-15	24.2	A
USGS	09486520	2020-09-16	25.5	A
USGS	09486520	2020-09-17	24.8	A
USGS	09486520	2020-09-18	21.5	A
USGS	09486520	2020-09-19	21.3	A
USGS	09486520	2020-09-20	22.1	A
USGS	09486520	2020-09-21	24.9	A
USGS	09486520	2020-09-22	23.4	A
USGS	09486520	2020-09-23	23.7	A
USGS	09486520	2020-09-24	22.3	A
USGS	09486520	2020-09-25	21.6	A
USGS	09486520	2020-09-26	22.5	A
USGS	09486520	2020-09-27	22.1	A
USGS	09486520	2020-09-28	23.1	A
USGS	09486520	2020-09-29	21.6	A
USGS	09486520	2020-09-30	21.9	A
